danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,emotion
0.866,0.46,0,-9.252,1,0.0423,0.0442,0,0.323,0.29,99.98,4xAk8Lw82G3YoVSOdVAsBx,4,sad
0.535,0.73,1,-5.574,1,0.355,0.0529,0,0.253,0.723,74.89,42YNobZ4HN3tRVEA47wLT6,4,sad
0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075,4AtfPLLTc3Pi1eP6mXGej8,4,sad
0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,1mXVgsBdtIVeCLJnSnmtdV,4,sad
0.53,0.603,9,-4.373,1,0.115,0.0122,0.0196,0.0835,0.549,123.006,2i37Y95xkPhHtoYBywVBUm,4,sad
0.562,0.579,10,-6.788,0,0.484,0.274,0,0.102,0.577,84.143,7J2gyNghNTzl4EsLhXp01Q,4,sad
0.707,0.553,6,-6.061,0,0.0623,0.562,0,0.0775,0.539,139.952,1oyHGBWdtUTDxss3EZB9a4,4,sad
0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,3ZffCQKLFLUvYM59XKLbVm,4,sad
0.695,0.253,2,-15.884,1,0.0461,0.685,0.14,0.105,0.264,120.033,6vJ6FR4WtlKSxe8lmh3F1C,4,sad
0.646,0.709,5,-6.005,0,0.0381,0.00925,0.000308,0.115,0.281,80.504,7zkLlx4bTeeyUyzs1L7gV4,4,sad
0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-06,0.12,0.658,192.07,5Q3e16qE1RE5oilN3ukasm,4,sad
0.602,0.792,8,-4.509,1,0.105,0.00463,0.000161,0.319,0.491,173.972,1lSqu7LFx7v51aGMeKVYaI,4,sad
0.727,0.62,8,-6.443,1,0.306,0.398,0,0.0926,0.555,105.003,658I1uDnmLSiltFCf98AWE,4,sad
0.372,0.247,4,-12.633,1,0.0336,0.896,0.00162,0.082,0.241,181.763,2HQY0sXTrBJCuxqJxbeMWB,4,sad
0.807,0.602,11,-5.005,1,0.274,0.0835,0,0.151,0.252,95.031,6j97zG4DDrh3oUa6rZbFOs,4,sad
0.553,0.507,11,-6.24,1,0.0304,0.473,0,0.108,0.57,83.093,06DaCxeg3IUMcxDkKEyQKf,4,sad
0.712,0.772,10,-3.024,0,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,3G0yz3DZn3lfraledmBCT0,4,sad
0.56,0.429,0,-6.267,1,0.0377,0.52,7.06e-05,0.105,0.161,85.036,31CHJzSweI6r1dk6XrZceK,4,sad
0.792,0.454,9,-6.753,1,0.458,0.00422,0,0.285,0.674,161.993,0ibOcbkp2XG46Do8jcy0bL,4,sad
0.679,0.63,2,-6.83,1,0.158,0.758,7.06e-05,0.111,0.558,123.082,0HsGh7cboYz6cVMIyFrQ8j,4,sad
0.499,0.361,2,-10.771,1,0.0299,0.568,0,0.0991,0.422,134.894,2GDWfM3NQoD0UeCwI1qbvh,4,sad
0.757,0.69,1,-5.327,0,0.282,0.0716,0,0.192,0.914,132.064,6wWaVoUOzLQJHd3bWAUpdZ,4,sad
0.325,0.532,8,-7.208,1,0.0308,0.496,0,0.134,0.162,129.021,1s2khOWzC99udpUaPICLJI,4,sad
0.501,0.98,0,-2.353,1,0.0993,0.00745,0.000422,0.0726,0.472,113.143,2LAfKLDOAHk4OXnz3Dn5tb,4,sad
0.84,0.444,3,-10.58,0,0.211,0.532,0.000884,0.0623,0.376,131.999,4owRIrDAJPqNWGf2SGC3H8,4,sad
0.852,0.803,6,-6.929,0,0.264,0.00204,0,0.121,0.752,96.2,6NLLIPKjqFRnbCorRNTEHe,4,sad
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,3ee8Jmje8o58CHK66QrVC2,4,sad
0.62,0.451,6,-7.623,1,0.17,0.128,0,0.373,0.294,156.906,3XRQT7EoS4U87rUuJwg5P3,4,sad
0.405,0.404,6,-8.954,0,0.208,0.682,0,0.0962,0.267,178.529,08wURIBZsaN1sCIDewNdrX,4,sad
0.853,0.66,9,-4.065,1,0.156,0.173,0,0.506,0.689,149.992,1sNl87MiEoEVXffVgzh44o,4,sad
0.766,0.715,1,-3.025,1,0.231,0.348,0,0.098,0.555,128.085,17nOaHsTn06jxuU9NpHuFU,4,sad
0.755,0.772,6,-5.585,1,0.4,0.128,0,0.157,0.678,132.906,3WyRgi8CzQnhzO0xw79tTS,4,sad
0.711,0.254,1,-14.404,0,0.0863,0.0829,0,0.0865,0.253,79.904,4BhGTc3Cgay2U1QcTS7vQe,4,sad
0.693,0.434,1,-9.366,1,0.193,0.418,0,0.338,0.685,63.033,0RzAihLqsEg9Qcm4pfPbG2,4,sad
0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,5VGlqQANWDKJFl0MBG3sg2,4,sad
0.516,0.622,5,-5.472,0,0.0354,0.518,0.00158,0.12,0.0964,119.815,77RcD8dc0aOHhGWxPX943C,3,sad
0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,43lYaovU2FoeuBMNusVVVW,4,sad
0.817,0.0944,5,-20.139,1,0.119,0.906,0.665,0.108,0.256,74.342,3lqAHJLW98TzVZCzNDYDs6,4,sad
0.514,0.589,11,-6.783,0,0.308,0.386,0,0.844,0.462,90.203,5HlvxXjTjt372U0RvBAgJr,4,sad
0.693,0.566,3,-6.42,1,0.0755,0.112,0,0.112,0.427,90.06,3UD3HNtCYunRSbogkXPVYh,4,sad
0.807,0.709,4,-8.152,0,0.29,0.00707,0,0.24,0.675,94.631,1YsiWaViAU4EGcoI3HY6j7,4,sad
0.539,0.51,5,-8.11,1,0.128,0.0708,0,0.155,0.064,109.971,16SSSA1qsR7XjFem5Pow5O,4,sad
0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,5ihS6UUlyQAfmp48eSkxuQ,4,sad
0.699,0.303,9,-9.077,0,0.102,0.571,0.63,0.134,0.67,74.988,0ICsQrc2nzduCGU1PD0G0J,4,sad
0.454,0.392,5,-10.081,1,0.0264,0.456,0.0151,0.113,0.381,96.883,6zBo1RXqm6zQ33n9jCHGmL,4,sad
0.326,0.954,7,-2.846,1,0.05,0.00831,2.16e-06,0.421,0.54,177.896,6zOyBiuDbRlgLRBGcrZvS4,4,sad
0.79,0.56,1,-7.043,1,0.341,0.0787,0,0.344,0.133,145.012,2bPYtv3okqX5zpSxtwLBuu,4,sad
0.634,0.812,11,-8.066,0,0.0687,0.0348,0.0044,0.0504,0.169,112.999,29ics7XHWmdG5oYqVvVdEQ,4,sad
0.728,0.541,1,-5.664,1,0.0318,0.17,0,0.118,0.206,130.025,0gCPvo1GkbtPhMqg5Gbx1K,4,sad
0.733,0.635,8,-9.302,1,0.0765,0.0171,8.37e-05,0.208,0.581,80.002,4Y8UPDfErs3n4ox554BRe3,4,sad
0.936,0.559,7,-8.591,0,0.158,0.479,0,0.129,0.517,112.339,2MJdgSby3DtSS7bUJx2cly,4,sad
0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,5TXDeTFVRVY7Cvt0Dw4vWW,4,sad
0.394,0.606,2,-7.345,1,0.0648,0.0346,1.05e-06,0.0804,0.197,77.026,5rMea4Gu5db0qb1c6TfGIh,4,sad
0.404,0.349,0,-8.665,1,0.0326,0.713,0.504,0.123,0.0583,122.972,4zKjdHoYHj0CEooWORisWQ,4,sad
0.712,0.374,0,-10.215,0,0.511,0.795,0,0.187,0.779,133.952,7uqcLJFlSYjVPLUz1vPxkY,4,sad
0.748,0.66,6,-4.704,1,0.0487,0.224,0.053,0.101,0.328,137.033,2BoeDIEzoS9diuyaqqVaDh,4,sad
0.618,0.885,7,-4.322,1,0.11,0.0123,0,0.387,0.731,131.862,3sR7ZJLhTV28FJku2Wz37K,4,sad
0.699,0.592,6,-8.298,1,0.262,0.273,0,0.202,0.589,94.933,6brl7bwOHmGFkNw3MBqssT,4,sad
